Measures,Text 1
Interjection type-token ratio (Sent Avg),0.047
Interjection type-token ratio (Sent SD),0.21
Interjection type-token ratio (Sent Max),1.00
Interjection type-token ratio (Sent Min),0.00
Lexical verb type-token ratio (Doc),0.71
Lexical verb type-token ratio (Sent Avg),0.90
Lexical verb type-token ratio (Sent SD),0.30
Lexical verb type-token ratio (Sent Max),1.00
Lexical verb type-token ratio (Sent Min),0.00
Noun type-token ratio (Doc),0.54
Noun type-token ratio (Sent Avg),0.82
Noun type-token ratio (Sent SD),0.37
Noun type-token ratio (Sent Max),1.00
Noun type-token ratio (Sent Min),0.00
Proper noun type-token ratio (Doc),0.43
Proper noun type-token ratio (Sent Avg),0.12
Proper noun type-token ratio (Sent SD),0.32
Proper noun type-token ratio (Sent Max),1.00
Proper noun type-token ratio (Sent Min),0.00
Lexical item type-token ratio (Doc),0.64
Lexical item type-token ratio (Sent Avg),0.98
Lexical item type-token ratio (Sent SD),0.056
Lexical item type-token ratio (Sent Max),1.00
Lexical item type-token ratio (Sent Min),0.71
Adposition type-token ratio (Doc),0.33
Adposition type-token ratio (Sent Avg),0.67
Adposition type-token ratio (Sent SD),0.47
Adposition type-token ratio (Sent Max),1.00
Adposition type-token ratio (Sent Min),0.00
Auxiliary type-token ratio (Doc),0.18
Auxiliary type-token ratio (Sent Avg),0.52
Auxiliary type-token ratio (Sent SD),0.49
Auxiliary type-token ratio (Sent Max),1.00
Auxiliary type-token ratio (Sent Min),0.00
Conjunction type-token ratio (Doc),0.24
Conjunction type-token ratio (Sent Avg),0.59
Conjunction type-token ratio (Sent SD),0.49
Conjunction type-token ratio (Sent Max),1.00
Conjunction type-token ratio (Sent Min),0.00
Determiner type-token ratio (Doc),0.16
Determiner type-token ratio (Sent Avg),0.57
Determiner type-token ratio (Sent SD),0.45
Determiner type-token ratio (Sent Max),1.00
Determiner type-token ratio (Sent Min),0.00
Numeral type-token ratio (Doc),0.67
Numeral type-token ratio (Sent Avg),0.070
Numeral type-token ratio (Sent SD),0.26
Numeral type-token ratio (Sent Max),1.00
Numeral type-token ratio (Sent Min),0.00
Particle type-token ratio (Doc),0.18
Particle type-token ratio (Sent Avg),0.34
Particle type-token ratio (Sent SD),0.47
Particle type-token ratio (Sent Max),1.00
Particle type-token ratio (Sent Min),0.00
Pronoun type-token ratio (Doc),0.15
Pronoun type-token ratio (Sent Avg),0.85
Pronoun type-token ratio (Sent SD),0.29
Pronoun type-token ratio (Sent Max),1.00
Pronoun type-token ratio (Sent Min),0.00
Grammatical item type-token ratio (Doc),0.20
Grammatical item type-token ratio (Sent Avg),0.91
Grammatical item type-token ratio (Sent SD),0.10
Grammatical item type-token ratio (Sent Max),1.00
Grammatical item type-token ratio (Sent Min),0.67
Verb type-token ratio (Doc),0.56
Verb type-token ratio (Sent Avg),0.97
Verb type-token ratio (Sent SD),0.10
Verb type-token ratio (Sent Max),1.00
Verb type-token ratio (Sent Min),0.50
Adverb-adjective ratio (Doc),1.00
Adverb-adjective ratio (Sent Avg),0.13
Adverb-adjective ratio (Sent SD),0.33
Adverb-adjective ratio (Sent Max),1.00
Adverb-adjective ratio (Sent Min),0.00
Interjection-adjective ratio (Doc),0.080
Interjection-adjective ratio (Sent Avg),0.023
Interjection-adjective ratio (Sent SD),0.15
Interjection-adjective ratio (Sent Max),1.00
Interjection-adjective ratio (Sent Min),0.00
Determiner-adjective ratio (Doc),1.72
Determiner-adjective ratio (Sent Avg),0.45
Determiner-adjective ratio (Sent SD),0.73
Determiner-adjective ratio (Sent Max),3.00
Determiner-adjective ratio (Sent Min),0.00
Adjective-noun ratio (Doc),0.31
Adjective-noun ratio (Sent Avg),0.24
Adjective-noun ratio (Sent SD),0.37
Adjective-noun ratio (Sent Max),1.00
Adjective-noun ratio (Sent Min),0.00
Interjection-noun ratio (Doc),0.025
Interjection-noun ratio (Sent Avg),0.016
Interjection-noun ratio (Sent SD),0.071
Interjection-noun ratio (Sent Max),0.33
Interjection-noun ratio (Sent Min),0.00
Proper noun-noun ratio (Doc),0.086
Proper noun-noun ratio (Sent Avg),0.11
Proper noun-noun ratio (Sent SD),0.38
Proper noun-noun ratio (Sent Max),2.00
Proper noun-noun ratio (Sent Min),0.00
Verb-noun ratio (Doc),1.40
Verb-noun ratio (Sent Avg),1.32
Verb-noun ratio (Sent SD),1.23
Verb-noun ratio (Sent Max),4.00
Verb-noun ratio (Sent Min),0.00
Adposition-noun ratio (Doc),0.64
Adposition-noun ratio (Sent Avg),0.48
Adposition-noun ratio (Sent SD),0.46
Adposition-noun ratio (Sent Max),1.50
Adposition-noun ratio (Sent Min),0.00
Conjunction-noun ratio (Doc),0.46
Conjunction-noun ratio (Sent Avg),0.38
Conjunction-noun ratio (Sent SD),0.46
Conjunction-noun ratio (Sent Max),1.50
Conjunction-noun ratio (Sent Min),0.00
Determiner-noun ratio (Doc),0.53
Determiner-noun ratio (Sent Avg),0.50
Determiner-noun ratio (Sent SD),0.43
Determiner-noun ratio (Sent Max),1.00
Determiner-noun ratio (Sent Min),0.00
Numeral-noun ratio (Doc),0.037
Numeral-noun ratio (Sent Avg),0.025
Numeral-noun ratio (Sent SD),0.097
Numeral-noun ratio (Sent Max),0.50
Numeral-noun ratio (Sent Min),0.00
Pronoun-noun ratio (Doc),1.12
Pronoun-noun ratio (Sent Avg),0.94
Pronoun-noun ratio (Sent SD),0.90
Pronoun-noun ratio (Sent Max),4.00
Pronoun-noun ratio (Sent Min),0.00
Adverb-verb ratio (Doc),0.22
Adverb-verb ratio (Sent Avg),0.26
Adverb-verb ratio (Sent SD),0.44
Adverb-verb ratio (Sent Max),2.00
Adverb-verb ratio (Sent Min),0.00
Interjection-verb ratio (Doc),0.018
Interjection-verb ratio (Sent Avg),0.012
Interjection-verb ratio (Sent SD),0.059
Interjection-verb ratio (Sent Max),0.33
Interjection-verb ratio (Sent Min),0.00
Adposition-verb ratio (Doc),0.46
Adposition-verb ratio (Sent Avg),0.50
Adposition-verb ratio (Sent SD),0.48
Adposition-verb ratio (Sent Max),2.00
Adposition-verb ratio (Sent Min),0.00
Conjunction-verb ratio (Doc),0.33
Conjunction-verb ratio (Sent Avg),0.29
Conjunction-verb ratio (Sent SD),0.31
Conjunction-verb ratio (Sent Max),1.33
Conjunction-verb ratio (Sent Min),0.00
Particle-verb ratio (Doc),0.15
Particle-verb ratio (Sent Avg),0.13
Particle-verb ratio (Sent SD),0.19
Particle-verb ratio (Sent Max),0.67
Particle-verb ratio (Sent Min),0.00
Auxiliary-lexical verb ratio (Doc),0.33
Auxiliary-lexical verb ratio (Sent Avg),0.31
Auxiliary-lexical verb ratio (Sent SD),0.45
Auxiliary-lexical verb ratio (Sent Max),2.00
Auxiliary-lexical verb ratio (Sent Min),0.00
Adjective-lexical item ratio (Doc),0.11
Adjective-lexical item ratio (Sent Avg),0.11
Adjective-lexical item ratio (Sent SD),0.18
Adjective-lexical item ratio (Sent Max),1.00
Adjective-lexical item ratio (Sent Min),0.00
Adverb-lexical item ratio (Doc),0.11
Adverb-lexical item ratio (Sent Avg),0.11
Adverb-lexical item ratio (Sent SD),0.16
Adverb-lexical item ratio (Sent Max),0.75
Adverb-lexical item ratio (Sent Min),0.00
Interjection-lexical item ratio (Doc),0.0089
Interjection-lexical item ratio (Sent Avg),0.0052
Interjection-lexical item ratio (Sent SD),0.024
Interjection-lexical item ratio (Sent Max),0.11
Interjection-lexical item ratio (Sent Min),0.00
Lexical verb-lexical item ratio (Doc),0.38
Lexical verb-lexical item ratio (Sent Avg),0.39
Lexical verb-lexical item ratio (Sent SD),0.21
Lexical verb-lexical item ratio (Sent Max),0.75
Lexical verb-lexical item ratio (Sent Min),0.00
Noun-lexical item ratio (Doc),0.36
Noun-lexical item ratio (Sent Avg),0.35
Noun-lexical item ratio (Sent SD),0.22
Noun-lexical item ratio (Sent Max),1.00
Noun-lexical item ratio (Sent Min),0.00
Proper noun-lexical item ratio (Doc),0.031
Proper noun-lexical item ratio (Sent Avg),0.043
Proper noun-lexical item ratio (Sent SD),0.14
Proper noun-lexical item ratio (Sent Max),0.67
Proper noun-lexical item ratio (Sent Min),0.00
Sub-coordinating conjunction ratio (Doc),0.61
Sub-coordinating conjunction ratio (Sent Avg),0.15
Sub-coordinating conjunction ratio (Sent SD),0.42
Sub-coordinating conjunction ratio (Sent Max),2.00
Sub-coordinating conjunction ratio (Sent Min),0.00
Adposition-determiner ratio (Doc),1.21
Adposition-determiner ratio (Sent Avg),0.63
Adposition-determiner ratio (Sent SD),0.70
Adposition-determiner ratio (Sent Max),2.00
Adposition-determiner ratio (Sent Min),0.00
Pronoun-determiner ratio (Doc),2.12
Pronoun-determiner ratio (Sent Avg),1.06
Pronoun-determiner ratio (Sent SD),1.27
Pronoun-determiner ratio (Sent Max),5.00
Pronoun-determiner ratio (Sent Min),0.00
Proper noun-determiner ratio (Doc),0.16
Proper noun-determiner ratio (Sent Avg),0.047
Proper noun-determiner ratio (Sent SD),0.21
Proper noun-determiner ratio (Sent Max),1.00
Proper noun-determiner ratio (Sent Min),0.00
Proper noun-pronoun ratio (Doc),0.077
Proper noun-pronoun ratio (Sent Avg),0.13
Proper noun-pronoun ratio (Sent SD),0.45
Proper noun-pronoun ratio (Sent Max),2.00
Proper noun-pronoun ratio (Sent Min),0.00
Adposition-grammatical item ratio (Doc),0.19
Adposition-grammatical item ratio (Sent Avg),0.17
Adposition-grammatical item ratio (Sent SD),0.15
Adposition-grammatical item ratio (Sent Max),0.50
Adposition-grammatical item ratio (Sent Min),0.00
Auxiliary-grammatical item ratio (Doc),0.10
Auxiliary-grammatical item ratio (Sent Avg),0.12
Auxiliary-grammatical item ratio (Sent SD),0.15
Auxiliary-grammatical item ratio (Sent Max),0.50
Auxiliary-grammatical item ratio (Sent Min),0.00
Conjunction-grammatical item ratio (Doc),0.14
Conjunction-grammatical item ratio (Sent Avg),0.13
Conjunction-grammatical item ratio (Sent SD),0.13
Conjunction-grammatical item ratio (Sent Max),0.50
Conjunction-grammatical item ratio (Sent Min),0.00
Determiner-grammatical item ratio (Doc),0.16
Determiner-grammatical item ratio (Sent Avg),0.16
Determiner-grammatical item ratio (Sent SD),0.15
Determiner-grammatical item ratio (Sent Max),0.50
Determiner-grammatical item ratio (Sent Min),0.00
Numeral-grammatical item ratio (Doc),0.011
Numeral-grammatical item ratio (Sent Avg),0.0091
Numeral-grammatical item ratio (Sent SD),0.034
Numeral-grammatical item ratio (Sent Max),0.14
Numeral-grammatical item ratio (Sent Min),0.00
Particle-grammatical item ratio (Doc),0.063
Particle-grammatical item ratio (Sent Avg),0.057
Particle-grammatical item ratio (Sent SD),0.087
Particle-grammatical item ratio (Sent Max),0.33
Particle-grammatical item ratio (Sent Min),0.00
Pronoun-grammatical item ratio (Doc),0.34
Pronoun-grammatical item ratio (Sent Avg),0.36
Pronoun-grammatical item ratio (Sent SD),0.19
Pronoun-grammatical item ratio (Sent Max),1.00
Pronoun-grammatical item ratio (Sent Min),0.00
Lexical-grammatical item ratio (Doc),0.83
Lexical-grammatical item ratio (Sent Avg),0.92
Lexical-grammatical item ratio (Sent SD),0.43
Lexical-grammatical item ratio (Sent Max),2.33
Lexical-grammatical item ratio (Sent Min),0.50
First person-personal pronoun ratio (Doc),0.57
First person-personal pronoun ratio (Sent Avg),0.52
First person-personal pronoun ratio (Sent SD),0.42
First person-personal pronoun ratio (Sent Max),1.00
First person-personal pronoun ratio (Sent Min),0.00
Second person-personal pronoun ratio (Doc),0.00
Second person-personal pronoun ratio (Sent Avg),0.0
Second person-personal pronoun ratio (Sent SD),0.0
Second person-personal pronoun ratio (Sent Max),0.00
Second person-personal pronoun ratio (Sent Min),0.00
Third person-personal pronoun ratio (Doc),0.43
Third person-personal pronoun ratio (Sent Avg),0.39
Third person-personal pronoun ratio (Sent SD),0.40
Third person-personal pronoun ratio (Sent Max),1.00
Third person-personal pronoun ratio (Sent Min),0.00
First-third person pronoun ratio (Doc),1.34
First-third person pronoun ratio (Sent Avg),0.53
First-third person pronoun ratio (Sent SD),1.00
First-third person pronoun ratio (Sent Max),4.00
First-third person pronoun ratio (Sent Min),0.00
First-second person pronoun ratio (Doc),0.00
First-second person pronoun ratio (Sent Avg),0.0
First-second person pronoun ratio (Sent SD),0.0
First-second person pronoun ratio (Sent Max),0.00
First-second person pronoun ratio (Sent Min),0.00
Second-third person pronoun ratio (Doc),0.00
Second-third person pronoun ratio (Sent Avg),0.0
Second-third person pronoun ratio (Sent SD),0.0
Second-third person pronoun ratio (Sent Max),0.00
Second-third person pronoun ratio (Sent Min),0.00
Plural-singular word ratio (Doc),0.40
Plural-singular word ratio (Sent Avg),0.64
Plural-singular word ratio (Sent SD),0.87
Plural-singular word ratio (Sent Max),4.00
Plural-singular word ratio (Sent Min),0.00
Definite-indefinite word ratio (Doc),0.76
Definite-indefinite word ratio (Sent Avg),0.058
Definite-indefinite word ratio (Sent SD),0.22
Definite-indefinite word ratio (Sent Max),1.00
Definite-indefinite word ratio (Sent Min),0.00
Infinitive-finite verb ratio (Doc),0.33
Infinitive-finite verb ratio (Sent Avg),0.36
Infinitive-finite verb ratio (Sent SD),0.49
Infinitive-finite verb ratio (Sent Max),2.00
Infinitive-finite verb ratio (Sent Min),0.00
Verbal adjective-finite verb ratio (Doc),0.090
Verbal adjective-finite verb ratio (Sent Avg),0.089
Verbal adjective-finite verb ratio (Sent SD),0.22
Verbal adjective-finite verb ratio (Sent Max),1.00
Verbal adjective-finite verb ratio (Sent Min),0.00
Verbal adjective-infinitive verb ratio (Doc),0.27
Verbal adjective-infinitive verb ratio (Sent Avg),0.070
Verbal adjective-infinitive verb ratio (Sent SD),0.26
Verbal adjective-infinitive verb ratio (Sent Max),1.00
Verbal adjective-infinitive verb ratio (Sent Min),0.00
Present-past tense ratio (Doc),0.075
Present-past tense ratio (Sent Avg),0.070
Present-past tense ratio (Sent SD),0.21
Present-past tense ratio (Sent Max),1.00
Present-past tense ratio (Sent Min),0.00
Hapax legomena burstiness (Doc),-0.14
Adjective burstiness (Doc),0.0050
Adverb burstiness (Doc),-0.076
Interjection burstiness (Doc),0.00
Lexical verb burstiness (Doc),-0.26
Noun burstiness (Doc),-0.055
Proper noun burstiness (Doc),0.38
Lexical item burstiness (Doc),-0.32
Adposition burstiness (Doc),-0.057
Auxiliary burstiness (Doc),-0.075
Conjunction burstiness (Doc),-0.15
Determiner burstiness (Doc),-0.12
Numeral burstiness (Doc),0.51
Particle burstiness (Doc),0.074
Pronoun burstiness (Doc),-0.17
Grammatical item burstiness (Doc),-0.34
Verb burstiness (Doc),-0.22
Personal pronoun burstiness (Doc),-0.15
First person pronoun burstiness (Doc),-0.095
Second person pronoun burstiness (Doc),0.00
Third person pronoun burstiness (Doc),0.033
Interrogative burstiness (Doc),-0.22
Demonstrative burstiness (Doc),0.16
Singular word burstiness (Doc),-0.094
Plural word burstiness (Doc),0.18
Indefinite word burstiness (Doc),0.13
Definite word burstiness (Doc),0.076
Finite verb burstiness (Doc),-0.32
Infinitive verb burstiness (Doc),-0.083
Verbal adjective burstiness (Doc),-0.090
Past tense burstiness (Doc),-0.23
Present tense burstiness (Doc),0.15
Passive voice burstiness (Doc),0.00
Frequent word burstiness (Doc),-0.33
Infrequent word burstiness (Doc),-0.17
Unknown word burstiness (Doc),0.18
Hapax legomena concentration (Doc),0.074
Hapax legomena concentration (Sent Avg),-0.014
Hapax legomena concentration (Sent SD),0.11
Hapax legomena concentration (Sent Max),0.17
Hapax legomena concentration (Sent Min),-0.50
Adjective concentration (Doc),0.20
Adjective concentration (Sent Avg),0.12
Adjective concentration (Sent SD),0.55
Adjective concentration (Sent Max),1.00
Adjective concentration (Sent Min),-1.00
Adverb concentration (Doc),-0.040
Adverb concentration (Sent Avg),-0.016
Adverb concentration (Sent SD),0.62
Adverb concentration (Sent Max),1.00
Adverb concentration (Sent Min),-1.00
Interjection concentration (Doc),0.0
Interjection concentration (Sent Avg),-0.047
Interjection concentration (Sent SD),0.21
Interjection concentration (Sent Max),0.00
Interjection concentration (Sent Min),-1.00
Lexical verb concentration (Doc),0.012
Lexical verb concentration (Sent Avg),-0.31
Lexical verb concentration (Sent SD),0.56
Lexical verb concentration (Sent Max),1.00
Lexical verb concentration (Sent Min),-1.00
Noun concentration (Doc),0.086
Noun concentration (Sent Avg),0.21
Noun concentration (Sent SD),0.62
Noun concentration (Sent Max),1.00
Noun concentration (Sent Min),-1.00
Proper noun concentration (Doc),-1.00
Proper noun concentration (Sent Avg),0.023
Proper noun concentration (Sent SD),0.34
Proper noun concentration (Sent Max),1.00
Proper noun concentration (Sent Min),-1.00
Lexical item concentration (Doc),0.022
Lexical item concentration (Sent Avg),0.073
Lexical item concentration (Sent SD),0.33
Lexical item concentration (Sent Max),1.00
Lexical item concentration (Sent Min),-0.50
Adposition concentration (Doc),0.077
Adposition concentration (Sent Avg),0.10
Adposition concentration (Sent SD),0.68
Adposition concentration (Sent Max),1.00
Adposition concentration (Sent Min),-1.00
Auxiliary concentration (Doc),-0.36
Auxiliary concentration (Sent Avg),0.047
Auxiliary concentration (Sent SD),0.65
Auxiliary concentration (Sent Max),1.00
Auxiliary concentration (Sent Min),-1.00
Conjunction concentration (Doc),-0.027
Conjunction concentration (Sent Avg),0.21
Conjunction concentration (Sent SD),0.66
Conjunction concentration (Sent Max),1.00
Conjunction concentration (Sent Min),-1.00
Determiner concentration (Doc),-0.12
Determiner concentration (Sent Avg),-0.070
Determiner concentration (Sent SD),0.60
Determiner concentration (Sent Max),1.00
Determiner concentration (Sent Min),-1.00
Numeral concentration (Doc),-1.00
Numeral concentration (Sent Avg),-0.023
Numeral concentration (Sent SD),0.27
Numeral concentration (Sent Max),1.00
Numeral concentration (Sent Min),-1.00
Particle concentration (Doc),0.18
Particle concentration (Sent Avg),-0.070
Particle concentration (Sent SD),0.55
Particle concentration (Sent Max),1.00
Particle concentration (Sent Min),-1.00
Pronoun concentration (Doc),0.077
Pronoun concentration (Sent Avg),-0.31
Pronoun concentration (Sent SD),0.53
Pronoun concentration (Sent Max),1.00
Pronoun concentration (Sent Min),-1.00
Grammatical item concentration (Doc),-0.018
Grammatical item concentration (Sent Avg),-0.099
Grammatical item concentration (Sent SD),0.36
Grammatical item concentration (Sent Max),0.50
Grammatical item concentration (Sent Min),-1.00
Verb concentration (Doc),-0.080
Verb concentration (Sent Avg),-0.26
Verb concentration (Sent SD),0.57
Verb concentration (Sent Max),1.00
Verb concentration (Sent Min),-1.00
Personal pronoun concentration (Doc),0.024
Personal pronoun concentration (Sent Avg),-0.37
Personal pronoun concentration (Sent SD),0.53
Personal pronoun concentration (Sent Max),1.00
Personal pronoun concentration (Sent Min),-1.00
First person pronoun concentration (Doc),0.19
First person pronoun concentration (Sent Avg),-0.14
First person pronoun concentration (Sent SD),0.69
First person pronoun concentration (Sent Max),1.00
First person pronoun concentration (Sent Min),-1.00
Second person pronoun concentration (Doc),0.00
Second person pronoun concentration (Sent Avg),0.0
Second person pronoun concentration (Sent SD),0.0
Second person pronoun concentration (Sent Max),0.00
Second person pronoun concentration (Sent Min),0.00
Third person pronoun concentration (Doc),-0.20
Third person pronoun concentration (Sent Avg),-0.30
Third person pronoun concentration (Sent SD),0.56
Third person pronoun concentration (Sent Max),1.00
Third person pronoun concentration (Sent Min),-1.00
Interrogative concentration (Doc),0.43
Interrogative concentration (Sent Avg),-0.023
Interrogative concentration (Sent SD),0.41
Interrogative concentration (Sent Max),1.00
Interrogative concentration (Sent Min),-1.00
Demonstrative concentration (Doc),0.43
Demonstrative concentration (Sent Avg),-0.047
Demonstrative concentration (Sent SD),0.38
Demonstrative concentration (Sent Max),1.00
Demonstrative concentration (Sent Min),-1.00
Singular word concentration (Doc),0.13
Singular word concentration (Sent Avg),0.10
Singular word concentration (Sent SD),0.58
Singular word concentration (Sent Max),1.00
Singular word concentration (Sent Min),-1.00
Plural word concentration (Doc),-0.25
Plural word concentration (Sent Avg),-0.27
Plural word concentration (Sent SD),0.75
Plural word concentration (Sent Max),1.00
Plural word concentration (Sent Min),-1.00
Indefinite word concentration (Doc),-0.33
Indefinite word concentration (Sent Avg),-0.085
Indefinite word concentration (Sent SD),0.43
Indefinite word concentration (Sent Max),1.00
Indefinite word concentration (Sent Min),-1.00
Definite word concentration (Doc),-0.12
Definite word concentration (Sent Avg),0.0
Definite word concentration (Sent SD),0.49
Definite word concentration (Sent Max),1.00
Definite word concentration (Sent Min),-1.00
Finite verb concentration (Doc),-0.077
Finite verb concentration (Sent Avg),-0.37
Finite verb concentration (Sent SD),0.55
Finite verb concentration (Sent Max),1.00
Finite verb concentration (Sent Min),-1.00
Infinitive verb concentration (Doc),0.0
Infinitive verb concentration (Sent Avg),0.12
Infinitive verb concentration (Sent SD),0.59
Infinitive verb concentration (Sent Max),1.00
Infinitive verb concentration (Sent Min),-1.00
Verbal adjective concentration (Doc),-0.14
Verbal adjective concentration (Sent Avg),-0.023
Verbal adjective concentration (Sent SD),0.41
Verbal adjective concentration (Sent Max),1.00
Verbal adjective concentration (Sent Min),-1.00
Past tense concentration (Doc),-0.015
Past tense concentration (Sent Avg),-0.50
Past tense concentration (Sent SD),0.56
Past tense concentration (Sent Max),1.00
Past tense concentration (Sent Min),-1.00
Present tense concentration (Doc),-0.20
Present tense concentration (Sent Avg),0.023
Present tense concentration (Sent SD),0.34
Present tense concentration (Sent Max),1.00
Present tense concentration (Sent Min),-1.00
Passive voice concentration (Doc),-1.00
Passive voice concentration (Sent Avg),-0.023
Passive voice concentration (Sent SD),0.15
Passive voice concentration (Sent Max),0.00
Passive voice concentration (Sent Min),-1.00
Frequent word concentration (Doc),-0.014
Frequent word concentration (Sent Avg),-0.11
Frequent word concentration (Sent SD),0.33
Frequent word concentration (Sent Max),0.50
Frequent word concentration (Sent Min),-1.00
Infrequent word concentration (Doc),0.0
Infrequent word concentration (Sent Avg),0.0
Infrequent word concentration (Sent SD),0.69
Infrequent word concentration (Sent Max),1.00
Infrequent word concentration (Sent Min),-1.00
Unknown word concentration (Doc),-0.20
Unknown word concentration (Sent Avg),0.0
Unknown word concentration (Sent SD),0.31
Unknown word concentration (Sent Max),1.00
Unknown word concentration (Sent Min),-1.00
Hapax legomena avg position (Doc),0.52
Hapax legomena avg position (Sent Avg),0.50
Hapax legomena avg position (Sent SD),0.028
Hapax legomena avg position (Sent Max),0.54
Hapax legomena avg position (Sent Min),0.41
Adjective avg position (Doc),0.50
Adjective avg position (Sent Avg),0.23
