Measures,Text 1
Adjective avg position (Sent SD),0.33
Adjective avg position (Sent Max),1.00
Adjective avg position (Sent Min),0.00
Adverb avg position (Doc),0.48
Adverb avg position (Sent Avg),0.21
Adverb avg position (Sent SD),0.29
Adverb avg position (Sent Max),0.94
Adverb avg position (Sent Min),0.00
Interjection avg position (Doc),0.49
Interjection avg position (Sent Avg),0.0
Interjection avg position (Sent SD),0.0
Interjection avg position (Sent Max),0.00
Interjection avg position (Sent Min),0.00
Lexical verb avg position (Doc),0.51
Lexical verb avg position (Sent Avg),0.38
Lexical verb avg position (Sent SD),0.20
Lexical verb avg position (Sent Max),0.75
Lexical verb avg position (Sent Min),0.00
Noun avg position (Doc),0.52
Noun avg position (Sent Avg),0.52
Noun avg position (Sent SD),0.30
Noun avg position (Sent Max),1.00
Noun avg position (Sent Min),0.00
Proper noun avg position (Doc),0.26
Proper noun avg position (Sent Avg),0.055
Proper noun avg position (Sent SD),0.21
Proper noun avg position (Sent Max),1.00
Proper noun avg position (Sent Min),0.0
Lexical item avg position (Doc),0.50
Lexical item avg position (Sent Avg),0.55
Lexical item avg position (Sent SD),0.13
Lexical item avg position (Sent Max),1.00
Lexical item avg position (Sent Min),0.36
Adposition avg position (Doc),0.52
Adposition avg position (Sent Avg),0.38
Adposition avg position (Sent SD),0.32
Adposition avg position (Sent Max),0.91
Adposition avg position (Sent Min),0.00
Auxiliary avg position (Doc),0.41
Auxiliary avg position (Sent Avg),0.31
Auxiliary avg position (Sent SD),0.34
Auxiliary avg position (Sent Max),1.00
Auxiliary avg position (Sent Min),0.00
Conjunction avg position (Doc),0.50
Conjunction avg position (Sent Avg),0.34
Conjunction avg position (Sent SD),0.31
Conjunction avg position (Sent Max),0.80
Conjunction avg position (Sent Min),0.00
Determiner avg position (Doc),0.46
Determiner avg position (Sent Avg),0.33
Determiner avg position (Sent SD),0.30
Determiner avg position (Sent Max),0.89
Determiner avg position (Sent Min),0.00
Numeral avg position (Doc),0.14
Numeral avg position (Sent Avg),0.021
Numeral avg position (Sent SD),0.12
Numeral avg position (Sent Max),0.79
Numeral avg position (Sent Min),0.00
Particle avg position (Doc),0.53
Particle avg position (Sent Avg),0.17
Particle avg position (Sent SD),0.26
Particle avg position (Sent Max),0.87
Particle avg position (Sent Min),0.00
Pronoun avg position (Doc),0.53
Pronoun avg position (Sent Avg),0.32
Pronoun avg position (Sent SD),0.22
Pronoun avg position (Sent Max),0.88
Pronoun avg position (Sent Min),0.00
Grammatical item avg position (Doc),0.50
Grammatical item avg position (Sent Avg),0.45
Grammatical item avg position (Sent SD),0.10
Grammatical item avg position (Sent Max),0.64
Grammatical item avg position (Sent Min),0.25
Verb avg position (Doc),0.49
Verb avg position (Sent Avg),0.44
Verb avg position (Sent SD),0.15
Verb avg position (Sent Max),0.75
Verb avg position (Sent Min),0.19
Personal pronoun avg position (Doc),0.51
Personal pronoun avg position (Sent Avg),0.28
Personal pronoun avg position (Sent SD),0.22
Personal pronoun avg position (Sent Max),0.88
Personal pronoun avg position (Sent Min),0.00
First person pronoun avg position (Doc),0.58
First person pronoun avg position (Sent Avg),0.26
First person pronoun avg position (Sent SD),0.32
First person pronoun avg position (Sent Max),1.00
First person pronoun avg position (Sent Min),0.00
Second person pronoun avg position (Doc),0.00
Second person pronoun avg position (Sent Avg),0.0
Second person pronoun avg position (Sent SD),0.0
Second person pronoun avg position (Sent Max),0.00
Second person pronoun avg position (Sent Min),0.00
Third person pronoun avg position (Doc),0.42
Third person pronoun avg position (Sent Avg),0.16
Third person pronoun avg position (Sent SD),0.24
Third person pronoun avg position (Sent Max),1.00
Third person pronoun avg position (Sent Min),0.00
Interrogative avg position (Doc),0.67
Interrogative avg position (Sent Avg),0.071
Interrogative avg position (Sent SD),0.21
Interrogative avg position (Sent Max),0.90
Interrogative avg position (Sent Min),0.00
Demonstrative avg position (Doc),0.58
Demonstrative avg position (Sent Avg),0.065
Demonstrative avg position (Sent SD),0.21
Demonstrative avg position (Sent Max),1.00
Demonstrative avg position (Sent Min),0.00
Singular word avg position (Doc),0.53
Singular word avg position (Sent Avg),0.52
Singular word avg position (Sent SD),0.24
Singular word avg position (Sent Max),1.00
Singular word avg position (Sent Min),0.00
Plural word avg position (Doc),0.44
Plural word avg position (Sent Avg),0.31
Plural word avg position (Sent SD),0.31
Plural word avg position (Sent Max),1.00
Plural word avg position (Sent Min),0.00
Indefinite word avg position (Doc),0.40
Indefinite word avg position (Sent Avg),0.17
Indefinite word avg position (Sent SD),0.26
Indefinite word avg position (Sent Max),0.89
Indefinite word avg position (Sent Min),0.00
Definite word avg position (Doc),0.49
Definite word avg position (Sent Avg),0.15
Definite word avg position (Sent SD),0.28
Definite word avg position (Sent Max),0.94
Definite word avg position (Sent Min),0.00
Finite verb avg position (Doc),0.49
Finite verb avg position (Sent Avg),0.39
Finite verb avg position (Sent SD),0.16
Finite verb avg position (Sent Max),0.75
Finite verb avg position (Sent Min),0.091
Infinitive verb avg position (Doc),0.50
Infinitive verb avg position (Sent Avg),0.28
Infinitive verb avg position (Sent SD),0.33
Infinitive verb avg position (Sent Max),0.93
Infinitive verb avg position (Sent Min),0.00
Verbal adjective avg position (Doc),0.44
Verbal adjective avg position (Sent Avg),0.089
Verbal adjective avg position (Sent SD),0.26
Verbal adjective avg position (Sent Max),1.00
Verbal adjective avg position (Sent Min),0.00
Past tense avg position (Doc),0.50
Past tense avg position (Sent Avg),0.32
Past tense avg position (Sent SD),0.19
Past tense avg position (Sent Max),0.75
Past tense avg position (Sent Min),0.00
Present tense avg position (Doc),0.50
Present tense avg position (Sent Avg),0.079
Present tense avg position (Sent SD),0.25
Present tense avg position (Sent Max),1.00
Present tense avg position (Sent Min),0.00
Passive voice avg position (Doc),0.11
Passive voice avg position (Sent Avg),0.0058
Passive voice avg position (Sent SD),0.038
Passive voice avg position (Sent Max),0.25
Passive voice avg position (Sent Min),0.00
Frequent word avg position (Doc),0.50
Frequent word avg position (Sent Avg),0.46
Frequent word avg position (Sent SD),0.089
Frequent word avg position (Sent Max),0.59
Frequent word avg position (Sent Min),0.25
Infrequent word avg position (Doc),0.51
Infrequent word avg position (Sent Avg),0.27
Infrequent word avg position (Sent SD),0.34
Infrequent word avg position (Sent Max),1.00
Infrequent word avg position (Sent Min),0.00
Unknown word avg position (Doc),0.56
Unknown word avg position (Sent Avg),0.063
Unknown word avg position (Sent SD),0.20
Unknown word avg position (Sent Max),1.00
Unknown word avg position (Sent Min),0.00
Hapax legomena position SD (Doc),0.28
Hapax legomena position SD (Sent Avg),0.35
Hapax legomena position SD (Sent SD),0.045
Hapax legomena position SD (Sent Max),0.50
Hapax legomena position SD (Sent Min),0.29
Adjective position SD (Doc),0.30
Adjective position SD (Sent Avg),0.034
Adjective position SD (Sent SD),0.11
Adjective position SD (Sent Max),0.47
Adjective position SD (Sent Min),0.00
Adverb position SD (Doc),0.32
Adverb position SD (Sent Avg),0.027
Adverb position SD (Sent SD),0.10
Adverb position SD (Sent Max),0.49
Adverb position SD (Sent Min),0.00
Interjection position SD (Doc),0.12
Interjection position SD (Sent Avg),0.0
Interjection position SD (Sent SD),0.0
Interjection position SD (Sent Max),0.00
Interjection position SD (Sent Min),0.00
Lexical verb position SD (Doc),0.28
Lexical verb position SD (Sent Avg),0.23
Lexical verb position SD (Sent SD),0.21
Lexical verb position SD (Sent Max),0.66
Lexical verb position SD (Sent Min),0.00
Noun position SD (Doc),0.30
Noun position SD (Sent Avg),0.16
Noun position SD (Sent SD),0.18
Noun position SD (Sent Max),0.57
Noun position SD (Sent Min),0.00
Proper noun position SD (Doc),0.20
Proper noun position SD (Sent Avg),0.0086
Proper noun position SD (Sent SD),0.045
Proper noun position SD (Sent Max),0.28
Proper noun position SD (Sent Min),0.00
Lexical item position SD (Doc),0.29
Lexical item position SD (Sent Avg),0.33
Lexical item position SD (Sent SD),0.092
Lexical item position SD (Sent Max),0.47
Lexical item position SD (Sent Min),0.00
Adposition position SD (Doc),0.29
Adposition position SD (Sent Avg),0.10
Adposition position SD (Sent SD),0.17
Adposition position SD (Sent Max),0.53
Adposition position SD (Sent Min),0.00
Auxiliary position SD (Doc),0.27
Auxiliary position SD (Sent Avg),0.047
Auxiliary position SD (Sent SD),0.15
Auxiliary position SD (Sent Max),0.59
Auxiliary position SD (Sent Min),0.00
Conjunction position SD (Doc),0.26
Conjunction position SD (Sent Avg),0.038
Conjunction position SD (Sent SD),0.099
Conjunction position SD (Sent Max),0.38
Conjunction position SD (Sent Min),0.00
Determiner position SD (Doc),0.27
Determiner position SD (Sent Avg),0.089
Determiner position SD (Sent SD),0.17
Determiner position SD (Sent Max),0.64
Determiner position SD (Sent Min),0.00
Numeral position SD (Doc),0.13
Numeral position SD (Sent Avg),0.0
Numeral position SD (Sent SD),0.0
Numeral position SD (Sent Max),0.00
Numeral position SD (Sent Min),0.00
Particle position SD (Doc),0.35
Particle position SD (Sent Avg),0.0095
Particle position SD (Sent SD),0.052
Particle position SD (Sent Max),0.33
Particle position SD (Sent Min),0.00
Pronoun position SD (Doc),0.29
Pronoun position SD (Sent Avg),0.30
Pronoun position SD (Sent SD),0.25
Pronoun position SD (Sent Max),0.71
Pronoun position SD (Sent Min),0.00
Grammatical item position SD (Doc),0.29
Grammatical item position SD (Sent Avg),0.35
Grammatical item position SD (Sent SD),0.064
Grammatical item position SD (Sent Max),0.53
Grammatical item position SD (Sent Min),0.14
Verb position SD (Doc),0.28
Verb position SD (Sent Avg),0.26
Verb position SD (Sent SD),0.19
Verb position SD (Sent Max),0.66
Verb position SD (Sent Min),0.00
Personal pronoun position SD (Doc),0.29
Personal pronoun position SD (Sent Avg),0.28
Personal pronoun position SD (Sent SD),0.26
Personal pronoun position SD (Sent Max),0.71
Personal pronoun position SD (Sent Min),0.00
First person pronoun position SD (Doc),0.26
First person pronoun position SD (Sent Avg),0.096
First person pronoun position SD (Sent SD),0.19
First person pronoun position SD (Sent Max),0.71
First person pronoun position SD (Sent Min),0.00
Second person pronoun position SD (Doc),0.00
Second person pronoun position SD (Sent Avg),0.0
Second person pronoun position SD (Sent SD),0.0
Second person pronoun position SD (Sent Max),0.00
Second person pronoun position SD (Sent Min),0.00
Third person pronoun position SD (Doc),0.31
Third person pronoun position SD (Sent Avg),0.10
Third person pronoun position SD (Sent SD),0.21
Third person pronoun position SD (Sent Max),0.71
Third person pronoun position SD (Sent Min),0.00
Interrogative position SD (Doc),0.29
Interrogative position SD (Sent Avg),0.0
Interrogative position SD (Sent SD),0.0
Interrogative position SD (Sent Max),0.00
Interrogative position SD (Sent Min),0.00
Demonstrative position SD (Doc),0.22
Demonstrative position SD (Sent Avg),0.0064
Demonstrative position SD (Sent SD),0.042
Demonstrative position SD (Sent Max),0.28
Demonstrative position SD (Sent Min),0.00
Singular word position SD (Doc),0.29
Singular word position SD (Sent Avg),0.28
Singular word position SD (Sent SD),0.16
Singular word position SD (Sent Max),0.54
Singular word position SD (Sent Min),0.00
Plural word position SD (Doc),0.31
Plural word position SD (Sent Avg),0.11
Plural word position SD (Sent SD),0.16
Plural word position SD (Sent Max),0.55
Plural word position SD (Sent Min),0.00
Indefinite word position SD (Doc),0.25
Indefinite word position SD (Sent Avg),0.030
Indefinite word position SD (Sent SD),0.091
Indefinite word position SD (Sent Max),0.42
Indefinite word position SD (Sent Min),0.00
Definite word position SD (Doc),0.32
Definite word position SD (Sent Avg),0.022
Definite word position SD (Sent SD),0.10
Definite word position SD (Sent Max),0.64
Definite word position SD (Sent Min),0.00
Finite verb position SD (Doc),0.29
Finite verb position SD (Sent Avg),0.26
Finite verb position SD (Sent SD),0.23
Finite verb position SD (Sent Max),0.66
Finite verb position SD (Sent Min),0.00
Infinitive verb position SD (Doc),0.27
Infinitive verb position SD (Sent Avg),0.040
Infinitive verb position SD (Sent SD),0.12
Infinitive verb position SD (Sent Max),0.53
Infinitive verb position SD (Sent Min),0.00
Verbal adjective position SD (Doc),0.22
Verbal adjective position SD (Sent Avg),0.0
Verbal adjective position SD (Sent SD),0.0
Verbal adjective position SD (Sent Max),0.00
Verbal adjective position SD (Sent Min),0.00
Past tense position SD (Doc),0.30
Past tense position SD (Sent Avg),0.18
Past tense position SD (Sent SD),0.22
Past tense position SD (Sent Max),0.66
Past tense position SD (Sent Min),0.00
Present tense position SD (Doc),0.19
Present tense position SD (Sent Avg),0.0
Present tense position SD (Sent SD),0.0
Present tense position SD (Sent Max),0.00
Present tense position SD (Sent Min),0.00
Passive voice position SD (Doc),0.00
Passive voice position SD (Sent Avg),0.0
Passive voice position SD (Sent SD),0.0
Passive voice position SD (Sent Max),0.00
Passive voice position SD (Sent Min),0.00
Frequent word position SD (Doc),0.28
Frequent word position SD (Sent Avg),0.34
Frequent word position SD (Sent SD),0.062
Frequent word position SD (Sent Max),0.53
Frequent word position SD (Sent Min),0.14
Infrequent word position SD (Doc),0.31
Infrequent word position SD (Sent Avg),0.018
Infrequent word position SD (Sent SD),0.065
Infrequent word position SD (Sent Max),0.31
Infrequent word position SD (Sent Min),0.00
Unknown word position SD (Doc),0.36
Unknown word position SD (Sent Avg),0.0
Unknown word position SD (Sent SD),0.0
Unknown word position SD (Sent Max),0.00
Unknown word position SD (Sent Min),0.00
Word overlap count (Par-Doc Avg),66.40
Word overlap count (Par-Doc SD),21.20
Word overlap count (Par-Doc Max),91.00
Word overlap count (Par-Doc Min),40.00
Word overlap count (Sent-Doc Avg),8.95
Word overlap count (Sent-Doc SD),4.03
Word overlap count (Sent-Doc Max),18.00
Word overlap count (Sent-Doc Min),2.00
Word overlap count (Sent-Par Avg),6.05
Word overlap count (Sent-Par SD),3.41
Word overlap count (Sent-Par Max),16.00
Word overlap count (Sent-Par Min),1.00
Word overlap count (Sent-Sent Avg),2.05
Word overlap count (Sent-Sent SD),1.83
Word overlap count (Sent-Sent Max),9.00
Word overlap count (Sent-Sent Min),0.00
Lemma overlap count (Par-Doc Avg),71.20
Lemma overlap count (Par-Doc SD),22.88
Lemma overlap count (Par-Doc Max),98.00
Lemma overlap count (Par-Doc Min),43.00
Lemma overlap count (Sent-Doc Avg),9.53
Lemma overlap count (Sent-Doc SD),4.11
Lemma overlap count (Sent-Doc Max),18.00
Lemma overlap count (Sent-Doc Min),2.00
Lemma overlap count (Sent-Par Avg),6.51
Lemma overlap count (Sent-Par SD),3.42
Lemma overlap count (Sent-Par Max),16.00
Lemma overlap count (Sent-Par Min),1.00
Lemma overlap count (Sent-Sent Avg),2.42
Lemma overlap count (Sent-Sent SD),1.81
Lemma overlap count (Sent-Sent Max),9.00
Lemma overlap count (Sent-Sent Min),0.00
PoS overlap count (Par-Doc Avg),98.80
PoS overlap count (Par-Doc SD),35.53
PoS overlap count (Par-Doc Max),139.00
PoS overlap count (Par-Doc Min),53.00
PoS overlap count (Sent-Doc Avg),11.53
PoS overlap count (Sent-Doc SD),5.31
PoS overlap count (Sent-Doc Max),24.00
PoS overlap count (Sent-Doc Min),3.00
PoS overlap count (Sent-Par Avg),11.30
PoS overlap count (Sent-Par SD),5.21
PoS overlap count (Sent-Par Max),24.00
PoS overlap count (Sent-Par Min),3.00
PoS overlap count (Sent-Sent Avg),7.03
PoS overlap count (Sent-Sent SD),3.54
PoS overlap count (Sent-Sent Max),15.00
PoS overlap count (Sent-Sent Min),1.00
Feature overlap count (Par-Doc Avg),186.20
Feature overlap count (Par-Doc SD),60.21
Feature overlap count (Par-Doc Max),243.00
Feature overlap count (Par-Doc Min),109.00
Feature overlap count (Sent-Doc Avg),21.77
Feature overlap count (Sent-Doc SD),9.52
Feature overlap count (Sent-Doc Max),44.00
Feature overlap count (Sent-Doc Min),10.00
Feature overlap count (Sent-Par Avg),21.26
Feature overlap count (Sent-Par SD),9.34
Feature overlap count (Sent-Par Max),44.00
Feature overlap count (Sent-Par Min),9.00
Feature overlap count (Sent-Sent Avg),13.47
Feature overlap count (Sent-Sent SD),6.11
Feature overlap count (Sent-Sent Max),31.00
Feature overlap count (Sent-Sent Min),5.00
Word overlap ratio (Par-Doc Avg),0.68
Word overlap ratio (Par-Doc SD),0.043
Word overlap ratio (Par-Doc Max),0.75
Word overlap ratio (Par-Doc Min),0.65
Word overlap ratio (Sent-Doc Avg),0.78
Word overlap ratio (Sent-Doc SD),0.11
Word overlap ratio (Sent-Doc Max),1.00
Word overlap ratio (Sent-Doc Min),0.56
Word overlap ratio (Sent-Par Avg),0.52
Word overlap ratio (Sent-Par SD),0.18
Word overlap ratio (Sent-Par Max),1.00
Word overlap ratio (Sent-Par Min),0.17
Word overlap ratio (Sent-Sent Avg),0.20
Word overlap ratio (Sent-Sent SD),0.18
Word overlap ratio (Sent-Sent Max),1.00
Word overlap ratio (Sent-Sent Min),0.0
Lemma overlap ratio (Par-Doc Avg),0.73
Lemma overlap ratio (Par-Doc SD),0.047
Lemma overlap ratio (Par-Doc Max),0.81
Lemma overlap ratio (Par-Doc Min),0.69
Lemma overlap ratio (Sent-Doc Avg),0.84
Lemma overlap ratio (Sent-Doc SD),0.11
Lemma overlap ratio (Sent-Doc Max),1.00
Lemma overlap ratio (Sent-Doc Min),0.60
Lemma overlap ratio (Sent-Par Avg),0.57
Lemma overlap ratio (Sent-Par SD),0.18
Lemma overlap ratio (Sent-Par Max),1.00
Lemma overlap ratio (Sent-Par Min),0.20
Lemma overlap ratio (Sent-Sent Avg),0.26
Lemma overlap ratio (Sent-Sent SD),0.20
Lemma overlap ratio (Sent-Sent Max),1.00
Lemma overlap ratio (Sent-Sent Min),0.0
PoS overlap ratio (Par-Doc Avg),1.00
PoS overlap ratio (Par-Doc SD),0.0064
PoS overlap ratio (Par-Doc Max),1.00
PoS overlap ratio (Par-Doc Min),0.99
PoS overlap ratio (Sent-Doc Avg),1.00
PoS overlap ratio (Sent-Doc SD),0.0
PoS overlap ratio (Sent-Doc Max),1.00
PoS overlap ratio (Sent-Doc Min),1.00
PoS overlap ratio (Sent-Par Avg),0.98
PoS overlap ratio (Sent-Par SD),0.057
PoS overlap ratio (Sent-Par Max),1.00
PoS overlap ratio (Sent-Par Min),0.67
PoS overlap ratio (Sent-Sent Avg),0.75
PoS overlap ratio (Sent-Sent SD),0.19
PoS overlap ratio (Sent-Sent Max),1.00
PoS overlap ratio (Sent-Sent Min),0.33
Feature overlap ratio (Par-Doc Avg),0.99
Feature overlap ratio (Par-Doc SD),0.0089
Feature overlap ratio (Par-Doc Max),1.00
Feature overlap ratio (Par-Doc Min),0.98
Feature overlap ratio (Sent-Doc Avg),1.00
Feature overlap ratio (Sent-Doc SD),0.0078
Feature overlap ratio (Sent-Doc Max),1.00
Feature overlap ratio (Sent-Doc Min),0.96
Feature overlap ratio (Sent-Par Avg),0.98
Feature overlap ratio (Sent-Par SD),0.033
Feature overlap ratio (Sent-Par Max),1.00
Feature overlap ratio (Sent-Par Min),0.89
Feature overlap ratio (Sent-Sent Avg),0.75
Feature overlap ratio (Sent-Sent SD),0.13
Feature overlap ratio (Sent-Sent Max),1.00
Feature overlap ratio (Sent-Sent Min),0.41
Levenshtein character dist. (Par-Doc Avg),0.81
Levenshtein character dist. (Par-Doc SD),0.058
Levenshtein character dist. (Par-Doc Max),0.89
Levenshtein character dist. (Par-Doc Min),0.75
Levenshtein character dist. (Sent-Doc Avg),0.98
Levenshtein character dist. (Sent-Doc SD),0.011
Levenshtein character dist. (Sent-Doc Max),0.99
Levenshtein character dist. (Sent-Doc Min),0.95
Levenshtein character dist. (Sent-Par Avg),0.89
Levenshtein character dist. (Sent-Par SD),0.051
Levenshtein character dist. (Sent-Par Max),0.98
Levenshtein character dist. (Sent-Par Min),0.72
Levenshtein character dist. (Sent-Sent Avg),0.72
Levenshtein character dist. (Sent-Sent SD),0.056
Levenshtein character dist. (Sent-Sent Max),0.84
Levenshtein character dist. (Sent-Sent Min),0.58
Levenshtein word dist. (Par-Doc Avg),0.92
Levenshtein word dist. (Par-Doc SD),0.024
Levenshtein word dist. (Par-Doc Max),0.95
Levenshtein word dist. (Par-Doc Min),0.90
Levenshtein word dist. (Sent-Doc Avg),0.99
Levenshtein word dist. (Sent-Doc SD),0.0059
Levenshtein word dist. (Sent-Doc Max),1.00
Levenshtein word dist. (Sent-Doc Min),0.97
Levenshtein word dist. (Sent-Par Avg),0.95
Levenshtein word dist. (Sent-Par SD),0.022
Levenshtein word dist. (Sent-Par Max),0.99
Levenshtein word dist. (Sent-Par Min),0.89
Levenshtein word dist. (Sent-Sent Avg),0.94
Levenshtein word dist. (Sent-Sent SD),0.059
Levenshtein word dist. (Sent-Sent Max),1.00
Levenshtein word dist. (Sent-Sent Min),0.80
Levenshtein lemma dist. (Par-Doc Avg),0.91
Levenshtein lemma dist. (Par-Doc SD),0.026
Levenshtein lemma dist. (Par-Doc Max),0.95
Levenshtein lemma dist. (Par-Doc Min),0.89
Levenshtein lemma dist. (Sent-Doc Avg),0.99
Levenshtein lemma dist. (Sent-Doc SD),0.0060
Levenshtein lemma dist. (Sent-Doc Max),1.00
Levenshtein lemma dist. (Sent-Doc Min),0.97
Levenshtein lemma dist. (Sent-Par Avg),0.95
Levenshtein lemma dist. (Sent-Par SD),0.023
Levenshtein lemma dist. (Sent-Par Max),0.99
Levenshtein lemma dist. (Sent-Par Min),0.89
Levenshtein lemma dist. (Sent-Sent Avg),0.92
Levenshtein lemma dist. (Sent-Sent SD),0.076
Levenshtein lemma dist. (Sent-Sent Max),1.00
Levenshtein lemma dist. (Sent-Sent Min),0.67
Levenshtein PoS dist. (Par-Doc Avg),0.79
Levenshtein PoS dist. (Par-Doc SD),0.073
Levenshtein PoS dist. (Par-Doc Max),0.88
Levenshtein PoS dist. (Par-Doc Min),0.71
Levenshtein PoS dist. (Sent-Doc Avg),0.98
Levenshtein PoS dist. (Sent-Doc SD),0.011
Levenshtein PoS dist. (Sent-Doc Max),0.99
Levenshtein PoS dist. (Sent-Doc Min),0.95
Levenshtein PoS dist. (Sent-Par Avg),0.88
Levenshtein PoS dist. (Sent-Par SD),0.062
Levenshtein PoS dist. (Sent-Par Max),0.98
Levenshtein PoS dist. (Sent-Par Min),0.67
Levenshtein PoS dist. (Sent-Sent Avg),0.70
Levenshtein PoS dist. (Sent-Sent SD),0.12
Levenshtein PoS dist. (Sent-Sent Max),0.92
Levenshtein PoS dist. (Sent-Sent Min),0.44
Cosine dist. (Par-Doc Avg),0.94
Cosine dist. (Par-Doc SD),0.041
Cosine dist. (Par-Doc Max),0.96
Cosine dist. (Par-Doc Min),0.86
Cosine dist. (Sent-Doc Avg),0.74
Cosine dist. (Sent-Doc SD),0.11
Cosine dist. (Sent-Doc Max),0.93
Cosine dist. (Sent-Doc Min),0.41
Cosine dist. (Sent-Par Avg),0.73
Cosine dist. (Sent-Par SD),0.11
Cosine dist. (Sent-Par Max),0.92
Cosine dist. (Sent-Par Min),0.42
Cosine dist. (Sent-Sent Avg),0.62
Cosine dist. (Sent-Sent SD),0.14
Cosine dist. (Sent-Sent Max),1.00
Cosine dist. (Sent-Sent Min),0.23
